Years,שם יישוב,סמל היישוב,סך הכל,רכב פרטי,משאית סך הכל,משאית עד 4.0 טון עד 2008 משאית עד 3.5 טון החל ב- 2009,משאית מ - 4.1 עד 15.9 טון עד 2008 משאית מ - 3.6 עד 12.0 טון החל ב- 2009,משאית + 16.0 טון עד 2008 משאית + 12.1 טון החל ב- 2009,אוטובוס,מונית,אופנוע,רכב מיוחד,אוטובוס זעיר קיים מ - 1993
2020,אביחיל,175,704,622,38,29,9,-,-,-,37,5,2
2020,אבן יהודה,182,7086,6265,487,307,149,31,5,14,274,5,36
2020,אבן שמואל,400,543,507,27,14,8,5,3,1,4,-,1
2020,אבו גוש,472,2577,2235,239,186,28,25,1,9,83,-,10
2020,אבו סנאן,473,5768,4909,707,523,96,88,-,25,121,3,3
2020,אבטין,652,1021,837,160,115,27,18,3,8,10,2,1
2020,אביאל,679,447,351,60,34,21,5,-,1,33,1,1
2020,אבן ספיר,783,304,264,24,14,9,1,1,3,12,-,-
2020,אביגדור,819,430,354,59,26,22,11,-,-,17,-,-
2020,אביעזר,1070,333,306,19,16,3,-,-,2,6,-,-
2020,אבן מנחם,1081,212,167,35,13,7,15,-,-,10,-,-
2020,אביבים,1115,285,206,64,12,6,46,-,2,11,-,2
2020,אבירים,1220,165,132,30,16,6,8,-,-,3,-,-
2020,אבטליון,1275,200,184,11,9,2,-,-,-,5,-,-
2020,אבו קורינאת (יישוב),1342,160,105,43,34,7,2,5,1,1,-,5
2020,אבו תלול,1375,207,113,35,34,1,-,30,-,-,-,29
2020,אביטל,2052,303,229,66,29,14,23,-,1,5,1,1
2020,אבנת,3786,58,53,4,4,-,-,-,-,1,-,-
2020,אבני חפץ,3793,637,560,47,35,12,-,-,3,27,-,-
2020,אבני איתן,4011,312,240,57,47,10,-,2,-,10,1,2
2020,אביחיל,175,704,622,38,29,9,-,-,-,37,5,2
2020,אבן יהודה,182,7086,6265,487,307,149,31,5,14,274,5,36
2020,אבן שמואל,400,543,507,27,14,8,5,3,1,4,-,1
2020,אבו גוש,472,2577,2235,239,186,28,25,1,9,83,-,10
2020,אבו סנאן,473,5768,4909,707,523,96,88,-,25,121,3,3
2020,אבטין,652,1021,837,160,115,27,18,3,8,10,2,1
2020,אביאל,679,447,351,60,34,21,5,-,1,33,1,1
2020,אבן ספיר,783,304,264,24,14,9,1,1,3,12,-,-
2020,אביגדור,819,430,354,59,26,22,11,-,-,17,-,-
2020,אביעזר,1070,333,306,19,16,3,-,-,2,6,-,-
2020,אבן מנחם,1081,212,167,35,13,7,15,-,-,10,-,-
2020,אביבים,1115,285,206,64,12,6,46,-,2,11,-,2
2020,אבירים,1220,165,132,30,16,6,8,-,-,3,-,-
2020,אבטליון,1275,200,184,11,9,2,-,-,-,5,-,-
2020,אבו קורינאת (יישוב),1342,160,105,43,34,7,2,5,1,1,-,5
2020,אבו תלול,1375,207,113,35,34,1,-,30,-,-,-,29
2020,אביטל,2052,303,229,66,29,14,23,-,1,5,1,1
