,year,city,population
1,2020,אבו גוש,7769
2,2020,אבו סנאן,14307
3,2020,אבו קורינאת (יישוב),1994
4,2020,אבו תלול,2139
5,2020,אבטין,2887
6,2020,אבטליון,477
7,2020,אביאל,791
8,2020,אביבים,474
9,2020,אביגדור,816
10,2020,אביחיל,1410
11,2020,אביטל,495
12,2020,אביעזר,864
13,2020,אבירים,271
14,2020,אבן יהודה,14021
15,2020,אבן מנחם,280
16,2020,אבן ספיר,710
17,2020,אבן שמואל,2237
18,2020,אבני איתן,740
19,2020,אבני חפץ,2080
20,2020,אבנת,255
21,2020,אבשלום,324
22,2020,אדורה,447
23,2020,אדירים,280
24,2020,אדמית,246
25,2020,אדרת,886
26,2020,אודים,1405
27,2020,אודם,155
28,2020,אוהד,408
29,2020,אום אל-פחם,56776
30,2020,אום אל-קוטוף,1151
31,2020,אום בטין,4489
32,2020,אומן,468
33,2020,אומץ,829
34,2020,אופקים,32555
35,2020,אור הגנוז,593
36,2020,אור הנר,788
37,2020,אור יהודה,36769
38,2020,אור עקיבא,19447
39,2020,אורה,1298
40,2020,אורון,-
41,2020,אורות,480
42,2020,אורטל,349
43,2020,אורים,482
44,2020,אורנים,61
45,2020,אורנית,8966
46,2020,אושה,558
47,2020,אזור,13333
48,2020,אזור תעסוקה משגב(תרדיון),-
49,2020,אזור תעשייה אכזיב (מילואות),-
50,2020,אזור תעשייה נעמן (מילואות),-
51,2020,אחווה,322
52,2020,אחוזם,540
53,2020,אחוזת ברק,2390
54,2020,אחיהוד,912
55,2020,אחיטוב,1081
56,2020,אחיסמך,1404
57,2020,אחיעזר,1978
58,2020,איבים,651
59,2020,אייל,534
60,2020,איילת השחר,1148
61,2020,אילון,1055
62,2020,אילון תבור*,-
63,2020,אילות,341
64,2020,אילנייה,488
65,2020,אילת,52520
66,2020,אירוס,729
67,2020,איתמר,1285
68,2020,איתן,490
69,2020,איתנים,60
70,2020,אכסאל,14939
71,2020,אל סייד,6084
72,2020,אל -עזי,200
73,2020,אל -עריאן,189
74,2020,אל -רום,415
75,2020,אלומה,943
76,2020,אלומות,411
77,2020,אלון הגליל,1144
78,2020,אלון מורה,2010
79,2020,אלון שבות,3071
80,2020,אלוני אבא,994
81,2020,אלוני הבשן,447
82,2020,אלוני יצחק,300
83,2020,אלונים,522
84,2020,אליאב,603
85,2020,אליכין,3484
86,2020,אלי-עד,464
87,2020,אליפז,148
88,2020,אליפלט,642
89,2020,אליקים,928
90,2020,אלישיב,722
91,2020,אלישמע,1205
92,2020,אלמגור,417
93,2020,אלמוג,246
94,2020,אלעד,49167
95,2020,אלעזר,2487
96,2020,אלפי מנשה,7997
97,2020,אלקוש,269
98,2020,אלקנה,3911
99,2020,אמונים,997
100,2020,אמירים,875
101,2020,אמנון,443
102,2020,אמציה,224
103,2020,אניעם,514
104,2020,אספר,986
105,2020,אעבלין,13547
106,2020,אפיק,345
107,2020,אפיקים,1500
108,2020,אפק,727
109,2020,אפרת,11405
110,2020,ארבל,748
111,2020,ארגמן,134
112,2020,ארז,585
113,2020,אריאל,19582
114,2020,ארסוף,184
115,2020,אשבול,646
116,2020,אשבל,139
117,2020,אשדוד,226153
118,2020,אשדות יעקב (איחוד),1016
119,2020,אשדות יעקב (מאוחד),583
120,2020,אשחר,964
121,2020,אשכולות,588
122,2020,אשל הנשיא,140
123,2020,אשלים,666
124,2020,אשקלון,146518
125,2020,אשרת,563
126,2020,אשתאול,1253
127,2020,באקה אל-גרביה,30456
128,2020,באר אורה,1140
129,2020,באר גנים,1762
130,2020,באר טוביה,1300
131,2020,באר יעקב,29015
132,2020,באר מילכה,193
133,2020,באר שבע,210595
134,2020,בארות יצחק,469
135,2020,בארותיים,1144
136,2020,בארי,1040
137,2020,בוסתן הגליל,1302
138,2020,בועיינה-נוג'ידאת,9997
139,2020,בוקעאתא,6665
140,2020,בורגתה,1136
141,2020,בחן,1115
142,2020,בטחה,793
143,2020,"בי""ס אזורי מקיף (אשר)",-
144,2020,ביצרון,1234
145,2020,ביר אל-מכסור,9731
146,2020,ביר הדאג',6012
147,2020,בירייה,816
148,2020,בית אורן,542
149,2020,בית אל,5684
150,2020,בית אלעזרי,1556
151,2020,בית אלפא,1178
152,2020,בית אריה-עופרים,5351
153,2020,בית ברל,226
154,2020,בית גוברין,435
155,2020,בית גמליאל,1025
156,2020,בית ג'ן,12151
157,2020,בית דגן,7298
158,2020,בית הגדי,842
159,2020,בית הלוי,827
160,2020,בית הלל,789
161,2020,בית העמק,713
162,2020,בית הערבה,398
163,2020,בית השיטה,1261
164,2020,בית זיד,79
165,2020,בית זית,1683
166,2020,בית זרע,599
167,2020,בית חולים פוריה,-
168,2020,בית חורון,1454
169,2020,בית חירות,904
170,2020,בית חלקיה,1407
171,2020,בית חנן,527
172,2020,בית חנניה,915
173,2020,בית חשמונאי,2192
174,2020,בית יהושע,1080
175,2020,בית יוסף,485
176,2020,בית ינאי,370
177,2020,בית יצחק-שער חפר,2137
178,2020,בית לחם הגלילית,838
179,2020,בית מאיר,817
180,2020,בית נחמיה,889
181,2020,בית ניר,608
182,2020,בית נקופה,739
183,2020,בית עובד,257
184,2020,בית עוזיאל,644
185,2020,בית עזרא,1106
186,2020,בית עריף,1189
187,2020,בית צבי,314
188,2020,בית קמה,1424
189,2020,בית קשת,695
190,2020,בית רבן,931
191,2020,בית רימון,866
192,2020,בית שאן,18705
193,2020,בית שמש,132543
194,2020,בית שערים,787
195,2020,בית שקמה,893
196,2020,ביתן אהרן,138
197,2020,ביתר עילית,61125
198,2020,בלפוריה,543
199,2020,בן זכאי,1135
200,2020,בן עמי,777
201,2020,אבו גוש,7699
202,2020,אבו סנאן,14100
203,2020,אבו קורינאת (יישוב),1904
204,2020,אבו תלול,2023
205,2020,אבטין,2835
206,2020,אבטליון,468
207,2020,אביאל,822
208,2020,אביבים,471
209,2020,אביגדור,826
210,2020,אביחיל,1422
211,2020,אביטל,494
212,2020,אביעזר,875
213,2020,אבירים,263
214,2020,אבן יהודה,13826
215,2020,אבן מנחם,299
216,2020,אבן ספיר,702
217,2020,אבן שמואל,1807
218,2020,אבני איתן,725
219,2020,אבני חפץ,1923
220,2020,אבנת,237
221,2020,אבשלום,298
222,2020,אדורה,462
223,2020,אדירים,272
224,2020,אדמית,216
225,2020,אדרת,883
226,2020,אודים,1378
227,2020,אודם,155
228,2020,אוהד,407
229,2020,אום אל-פחם,56108
230,2020,אום אל-קוטוף,1117
