year,city,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent
2019,אבו גוש,3,13.03,59.29,361,..,3.74
2019,אבו סנאן,3,12.09,65.81,592,28.50,2.32
2019,אבן יהודה,3,55.59,83.96,1087,46.10,3.03
2019,אום אל-פחם,13,8.52,59.40,3838,23.30,2.11
2019,אופקים,11,12.26,50.24,1551,26.60,1.84
2019,אור יהודה,7,13.76,72.31,1244,40.50,2.31
2019,אור עקיבא,5,14.65,82.74,832,27.20,1.97
2019,אורנית,1,48.79,83.70,566,..,3.45
2019,אזור,-,21.82,76.67,-,36.10,2.29
2019,אילת,8,10.82,66.28,1988,23.10,1.89
2019,אכסאל,5,13.55,59.24,966,24.70,2.47
2019,אליכין,-,26.27,60.78,-,..,2.84
2019,אלעד,34,11.17,28.61,4002,16.70,1.15
2019,אלפי מנשה,-,36.51,81.20,-,..,2.56
2019,אלקנה,2,68.87,96.83,399,..,6.72
2019,אעבלין,4,12.12,58.13,1468,40.30,2.54
2019,אפרת,3,49.67,84.42,674,63.10,5.37
2019,אריאל,2,24.13,90.36,439,37,11.98
2019,אשדוד,58,15.32,56.99,11787,35.10,2.11
2019,אשקלון,21,19.22,72.04,5379,38.40,2.37
2019,באקה אל-גרביה,6,12.74,67.66,1997,32.70,2.96
2019,באר יעקב,8,33.83,71.27,1461,19.60,1.91
2019,באר שבע,31,21.6,76.12,8194,34.30,3.66
2019,בועיינה-נוג'ידאת,2,10.68,64.56,659,31.80,2.91
2019,בוקעאתא,1,6.18,84.75,327,..,2.62
2019,ביר אל-מכסור,1,7.88,41.67,533,15.50,1.74
2019,בית אל,4,47.92,89.76,1026,39.30,6.44
2019,בית אריה-עופרים,-,29.95,82.43,-,..,3.12
2019,בית ג'ן,1,15.76,92.31,606,36.10,3.52
2019,בית דגן,-,26.05,85.84,-,42.50,3.13
2019,בית שאן,6,13.14,64.18,804,30.70,2.44
2019,בית שמש,57,10.43,35.69,7329,26.60,1.63
2019,ביתר עילית,42,5.91,11.14,4595,19.30,0.93
2019,בני ברק,107,7.19,6.22,18143,9.60,0.81
2019,"בני עי""ש",-,12.23,66.28,-,..,2.25
2019,בנימינה-גבעת עדה*,2,60.46,81.97,776,42,3.08
2019,"בסמ""ה",2,12.67,57.75,622,25.50,2.41
2019,בסמת טבעון,1,8.11,63.01,351,29.50,2.05
2019,בענה,2,7.86,60.33,676,39.10,2.85
2019,בת ים,17,9.8,74.03,3578,27.20,1.45
2019,גבעת זאב,1,22.05,46.94,11,34.90,2.91
2019,גבעת שמואל,3,57.95,90.76,844,62.80,5.6
2019,גבעתיים,5,55.35,92.79,2585,52.20,4.1
2019,ג'דיידה-מכר,4,10.03,61.50,1120,33.40,2.24
2019,גדרה,6,42.77,87.70,1828,43.70,3.04
2019,ג'ולס,1,19.55,71.30,294,..,3.97
2019,ג'לג'וליה,1,10.28,61.71,513,23.60,2.5
2019,גן יבנה,2,32.69,84.54,1162,43.20,3.79
2019,גני תקווה,2,53.99,83.61,674,56.20,2.91
2019,ג'סר א-זרקא,2,2.09,37.50,708,9.40,0.83
2019,ג'ש (גוש חלב),1,25.58,68.29,172,..,4.4
2019,ג'ת,1,24.6,68.42,662,39.50,4.38
2019,דאלית אל-כרמל,2,14.85,82.45,498,27.40,3.11
2019,דבורייה,1,16.21,59.36,638,40,3.35
2019,דייר אל-אסד,1,13.04,65.16,623,27,2.94
