year,city,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage,self_employees_average_monthly_wage_change_in_percent
2019,אבו גוש,151,3393,7294.03,1.35,10064.79,-7.67
2019,אבו סנאן,626,5841,7071.17,1.95,8456.8,-0.75
2019,אבן יהודה,899,6265,14054.0,1.58,12517.09,-1.72
2019,אום אל-פחם,1918,22149,5869.82,1.16,8883.18,-0.83
2019,אופקים,295,3342,9398.05,0.38,11301.74,-1.31
2019,אור יהודה,1920,18941,8953.88,4.59,10284.18,1.14
2019,אור עקיבא,789,9833,8315.83,2.06,8808.06,0.0
2019,אורנית,581,4247,13425.2,0.92,11520.67,-0.24
2019,אזור,753,6085,10266.17,4.06,11943.17,0.85
2019,אילת,2888,33651,8745.44,3.33,11275.76,0.64
2019,איתן,263,3859,11181.7,1.5,12566.3,5.17
2019,אכסאל,726,5889,6840.92,1.05,10688.76,-2.06
2019,אליכין,281,4400,12479.68,-0.43,13126.48,-1.29
2019,אלעד,1166,14571,6518.74,0.69,8054.14,-1.65
2019,אלפי מנשה,455,4007,12265.49,1.07,12668.36,4.43
2019,אלקנה,145,1985,12268.21,-0.17,13370.67,-3.42
2019,אעבלין,503,5497,6617.76,1.59,7890.89,-5.44
2019,אפרת,410,5092,10598.02,2.35,14743.35,7.58
2019,אריאל,657,10596,9670.02,2.89,9951.24,3.95
2019,אשבול,1131,7825,9265.96,3.43,9376.08,2.74
2019,אשדוד,7454,109476,8922.5,1.91,9738.22,0.97
2019,אשקלון,5044,69453,8847.26,2.83,9777.04,0.85
2019,באקה אל-גרביה,1452,15273,7172.39,2.38,9399.45,-1.44
2019,באר יעקב,1032,10789,12107.93,3.23,12913.09,2.67
2019,באר שבע,6013,109665,9546.31,2.57,10497.27,4.05
2019,בועיינה-נוג'ידאת,253,4498,6057.05,1.64,8578.53,0.81
2019,בוקעאתא,341,2813,5807.57,3.04,7291.52,3.76
2019,ביר אל-מכסור,224,4169,6455.2,1.3,8204.48,-7.89
2019,בית אל,138,2932,7988.32,5.14,8690.79,1.17
2019,בית אריה-עופרים,249,2574,11357.39,1.58,13528.3,9.83
2019,בית ג'ן,400,5839,7593.13,0.64,6678.4,8.11
2019,בית דגן,394,3562,10489.59,2.13,11801.08,-0.04
2019,בית ניר,2974,18530,12572.02,2.31,11714.58,1.57
2019,בית שאן,610,10402,8107.6,4.16,10003.22,2.75
2019,בית שמש,2954,38535,7298.78,2.34,8825.37,-0.88
2019,ביתר עילית,1042,16188,5314.51,1.75,7135.22,-3.88
2019,בני ברק,4289,65137,6468.88,2.69,8596.71,-0.29
2019,"בני עי""ש",215,3968,8419.18,1.77,8541.01,11.31
2019,בנימינה-גבעת עדה*,936,6698,13951.21,2.03,13009.55,-1.29
2019,"בסמ""ה",312,4270,6175.78,0.26,8476.05,-0.83
2019,בסמת טבעון,225,3583,6491.08,0.62,8308.44,-7.58
2019,בענה,205,2240,5702.54,5.72,9845.0,6.74
2019,בת ים,5872,68837,8233.33,3.31,9190.45,1.1
2019,בת שלמה,1504,10885,11492.93,1.91,12712.99,-3.0
2019,גבעת זאב,715,7545,9420.65,2.32,9998.48,-1.95
2019,גבעת שמואל,1160,11980,13311.35,2.59,13834.31,-4.23
2019,גבעתיים,3601,28542,14052.98,3.34,13301.28,0.28
2019,גדות,347,3813,12623.77,-0.18,12134.39,3.99
2019,ג'דיידה-מכר,731,9662,6258.65,2.52,9194.24,-1.6
2019,גדרה,1070,12168,11726.32,1.04,11496.27,-1.21
2019,ג'ולס,197,3212,8365.49,0.36,6014.9,1.51
2019,ג'לג'וליה,383,4300,5829.96,2.46,8300.37,5.77
2019,גן יבנה,1002,11992,11358.82,0.58,11066.32,-1.77
2019,גן שמואל,1533,18064,10332.01,2.14,10690.12,2.88
2019,גני תקווה,1052,8754,14415.26,3.16,14689.08,-5.02
2019,ג'סר א-זרקא,132,7136,5766.84,2.15,8671.52,15.1
2019,גפן,458,4700,9724.01,2.48,11138.29,-6.22
2019,ג'ש (גוש חלב),221,1501,8899.89,0.54,10272.32,-9.33
