year,city,population,percent_count_Age,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,number_of_high_school_graduates_with_potential_in_percent,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage
2019,אבו גוש,7698.0,46.760000000000005,3,13.03,59.29,361,37.17,..,3.74,151.0,3393.0,7294.03,1.35,10064.79
2019,אבו סנאן,14099.0,48.239999999999995,3,12.09,65.81,592,52.56,28.50,2.32,626.0,5841.0,7071.17,1.95,8456.8
2019,אבן יהודה,13826.0,35.91,3,55.59,83.96,1087,76.89,46.10,3.03,899.0,6265.0,14054.0,1.58,12517.09
2019,אום אל-פחם,56109.0,47.45,13,8.52,59.40,3838,44.16,23.30,2.11,1918.0,22149.0,5869.82,1.16,8883.18
2019,אופקים,30662.0,41.68000000000001,11,12.26,50.24,1551,39.81,26.60,1.84,295.0,3342.0,9398.05,0.38,11301.74
2019,אור יהודה,36813.0,41.379999999999995,7,13.76,72.31,1244,57.85,40.50,2.31,1920.0,18941.0,8953.88,4.59,10284.18
2019,אור עקיבא,18972.0,39.629999999999995,5,14.65,82.74,832,69.03,27.20,1.97,789.0,9833.0,8315.83,2.06,8808.06
2019,אורנית,8955.0,39.13,1,48.79,83.70,566,78.52,..,3.45,581.0,4247.0,13425.2,0.92,11520.67
2019,אזור,12957.0,39.980000000000004,-,21.82,76.67,-,70,36.10,2.29,753.0,6085.0,10266.17,4.06,11943.17
2019,אילת,52299.0,44.31,8,10.82,66.28,1988,59.65,23.10,1.89,2888.0,33651.0,8745.44,3.33,11275.76
2019,אכסאל,14784.0,48.0,5,13.55,59.24,966,50,24.70,2.47,726.0,5889.0,6840.92,1.05,10688.76
2019,אליכין,3415.0,38.42,-,26.27,60.78,-,50.98,..,2.84,281.0,4400.0,12479.68,-0.43,13126.48
2019,אלעד,48763.0,42.3,34,11.17,28.61,4002,20.15,16.70,1.15,1166.0,14571.0,6518.74,0.69,8054.14
2019,אלפי מנשה,7952.0,38.96,-,36.51,81.20,-,75.21,..,2.56,455.0,4007.0,12265.49,1.07,12668.36
2019,אלקנה,3838.0,39.370000000000005,2,68.87,96.83,399,92.06,..,6.72,145.0,1985.0,12268.21,-0.17,13370.67
2019,אעבלין,13305.0,46.790000000000006,4,12.12,58.13,1468,52.85,40.30,2.54,503.0,5497.0,6617.76,1.59,7890.89
2019,אפרת,10806.0,41.81,3,49.67,84.42,674,82.91,63.10,5.37,410.0,5092.0,10598.02,2.35,14743.35
2019,אריאל,20540.0,46.06,2,24.13,90.36,439,77.11,37,11.98,657.0,10596.0,9670.02,2.89,9951.24
2019,אשדוד,225939.0,37.96,58,15.32,56.99,11787,48.27,35.10,2.11,7454.0,109476.0,8922.5,1.91,9738.22
2019,אשקלון,144073.0,38.67,21,19.22,72.04,5379,63.87,38.40,2.37,5044.0,69453.0,8847.26,2.83,9777.04
2019,באקה אל-גרביה,29950.0,47.43,6,12.74,67.66,1997,55.22,32.70,2.96,1452.0,15273.0,7172.39,2.38,9399.45
2019,באר יעקב,27768.0,43.29,8,33.83,71.27,1461,50.91,19.60,1.91,1032.0,10789.0,12107.93,3.23,12913.09
2019,באר שבע,209687.0,39.88,31,21.6,76.12,8194,61.05,34.30,3.66,6013.0,109665.0,9546.31,2.57,10497.27
2019,בועיינה-נוג'ידאת,9812.0,50.08,2,10.68,64.56,659,45.63,31.80,2.91,253.0,4498.0,6057.05,1.64,8578.53
2019,בוקעאתא,6610.0,46.8,1,6.18,84.75,327,66.95,..,2.62,341.0,2813.0,5807.57,3.04,7291.52
2019,ביר אל-מכסור,9522.0,47.269999999999996,1,7.88,41.67,533,33.33,15.50,1.74,224.0,4169.0,6455.2,1.3,8204.48
2019,בית אל,5973.0,50.489999999999995,4,47.92,89.76,1026,79.53,39.30,6.44,138.0,2932.0,7988.32,5.14,8690.79
2019,בית אריה-עופרים,5253.0,40.81,-,29.95,82.43,-,78.38,..,3.12,249.0,2574.0,11357.39,1.58,13528.3
2019,בית ג'ן,12001.0,49.11,1,15.76,92.31,606,82.05,36.10,3.52,400.0,5839.0,7593.13,0.64,6678.4
2019,בית דגן,7285.0,40.55,-,26.05,85.84,-,79.65,42.50,3.13,394.0,3562.0,10489.59,2.13,11801.08
2019,בית שאן,18464.0,41.2,6,13.14,64.18,804,50,30.70,2.44,610.0,10402.0,8107.6,4.16,10003.22
2019,בית שמש,124957.0,39.78,57,10.43,35.69,7329,29.77,26.60,1.63,2954.0,38535.0,7298.78,2.34,8825.37
2019,ביתר עילית,59270.0,38.61,42,5.91,11.14,4595,6.71,19.30,0.93,1042.0,16188.0,5314.51,1.75,7135.22
2019,בני ברק,204639.0,41.41,107,7.19,6.22,18143,4.82,9.60,0.81,4289.0,65137.0,6468.88,2.69,8596.71
2019,"בני עי""ש",6978.0,36.050000000000004,-,12.23,66.28,-,51.16,..,2.25,215.0,3968.0,8419.18,1.77,8541.01
2019,בנימינה-גבעת עדה*,15847.0,38.46,2,60.46,81.97,776,79.40,42,3.08,936.0,6698.0,13951.21,2.03,13009.55
2019,"בסמ""ה",10010.0,48.27,2,12.67,57.75,622,43.66,25.50,2.41,312.0,4270.0,6175.78,0.26,8476.05
2019,בסמת טבעון,7916.0,47.45,1,8.11,63.01,351,45.89,29.50,2.05,225.0,3583.0,6491.08,0.62,8308.44
2019,בענה,8381.0,48.76,2,7.86,60.33,676,48.91,39.10,2.85,205.0,2240.0,5702.54,5.72,9845.0
2019,בת ים,129013.0,36.03,17,9.8,74.03,3578,62.75,27.20,1.45,5872.0,68837.0,8233.33,3.31,9190.45
2019,גבעת זאב,18420.0,38.92,1,22.05,46.94,11,38.37,34.90,2.91,715.0,7545.0,9420.65,2.32,9998.48
2019,גבעת שמואל,26578.0,39.55,3,57.95,90.76,844,88.80,62.80,5.6,1160.0,11980.0,13311.35,2.59,13834.31
2019,גבעתיים,60644.0,42.25,5,55.35,92.79,2585,87.17,52.20,4.1,3601.0,28542.0,14052.98,3.34,13301.28
2019,ג'דיידה-מכר,21163.0,47.44,4,10.03,61.50,1120,53.46,33.40,2.24,731.0,9662.0,6258.65,2.52,9194.24
2019,גדרה,28313.0,40.010000000000005,6,42.77,87.70,1828,78.42,43.70,3.04,1070.0,12168.0,11726.32,1.04,11496.27
2019,ג'ולס,6465.0,48.95,1,19.55,71.30,294,62.96,..,3.97,197.0,3212.0,8365.49,0.36,6014.9
2019,ג'לג'וליה,10148.0,45.78,1,10.28,61.71,513,52.57,23.60,2.5,383.0,4300.0,5829.96,2.46,8300.37
2019,גן יבנה,23869.0,41.44,2,32.69,84.54,1162,77.32,43.20,3.79,1002.0,11992.0,11358.82,0.58,11066.32
2019,גני תקווה,20398.0,35.74,2,53.99,83.61,674,80.33,56.20,2.91,1052.0,8754.0,14415.26,3.16,14689.08
2019,ג'סר א-זרקא,14930.0,48.37,2,2.09,37.50,708,25,9.40,0.83,132.0,7136.0,5766.84,2.15,8671.52
2019,ג'ש (גוש חלב),3105.0,43.839999999999996,1,25.58,68.29,172,63.41,..,4.4,221.0,1501.0,8899.89,0.54,10272.32
2019,ג'ת,12100.0,46.73,1,24.6,68.42,662,65.07,39.50,4.38,347.0,2960.0,8069.11,3.93,8540.55
2019,דאלית אל-כרמל,17653.0,45.92,2,14.85,82.45,498,62.86,27.40,3.11,1108.0,9672.0,8106.3,0.86,8076.78
2019,דבורייה,10510.0,45.19,1,16.21,59.36,638,51.60,40,3.35,511.0,4664.0,7037.56,0.14,9065.55
2019,דייר אל-אסד,12514.0,48.06,1,13.04,65.16,623,55.20,27,2.94,315.0,3404.0,7697.75,8.97,9966.83
2019,דייר חנא,10339.0,47.49,1,15.33,89.33,534,67.98,29.40,3.32,366.0,4910.0,6896.15,1.86,8727.62
2019,דימונה,34500.0,41.33,10,11.67,69.33,1747,56.08,26,2.09,835.0,19341.0,9563.13,1.52,9706.25
2019,הוד השרון,63175.0,37.26,6,54.35,86.50,2740,81.11,52.10,3.18,3632.0,28596.0,13867.6,2.09,13441.11
2019,הר אדר,4088.0,37.010000000000005,-,55.7,90.48,-,88.10,..,4.97,225.0,1897.0,13956.9,-3.04,14682.12
2019,הרצלייה,97470.0,37.879999999999995,10,44.95,84.38,3426,77.68,51.10,3.4,5978.0,45920.0,12760.05,3.46,12581.19
