year,city,population,count_age_precent,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage,self_employees_average_monthly_wage_change_in_percent
2019,אבו גוש,7698,46.76,3,13.03,59.29,361,..,3.74,151,3393,7294.03,1.35,10064.79,-7.67
2019,אבו סנאן,14099,48.24,3,12.09,65.81,592,28.5,2.32,626,5841,7071.17,1.95,8456.8,-0.75
2019,אבן יהודה,13826,35.91,3,55.59,83.96,1087,46.1,3.03,899,6265,14054,1.58,12517.09,-1.72
2019,אום אל-פחם,56109,47.45,13,8.52,59.4,3838,23.3,2.11,1918,22149,5869.82,1.16,8883.18,-0.83
2019,אופקים,30662,41.68,11,12.26,50.24,1551,26.6,1.84,295,3342,9398.05,0.38,11301.74,-1.31
2019,אור יהודה,36813,41.38,7,13.76,72.31,1244,40.5,2.31,1920,18941,8953.88,4.59,10284.18,1.14
2019,אור עקיבא,18972,39.63,5,14.65,82.74,832,27.2,1.97,789,9833,8315.83,2.06,8808.06,0
2019,אורנית,8955,39.13,1,48.79,83.7,566,..,3.45,581,4247,13425.2,0.92,11520.67,-0.24
2019,אזור,12957,39.98,-,21.82,76.67,-,36.1,2.29,753,6085,10266.17,4.06,11943.17,0.85
2019,אילת,52299,44.31,8,10.82,66.28,1988,23.1,1.89,2888,33651,8745.44,3.33,11275.76,0.64
2019,אכסאל,14784,48.00,5,13.55,59.24,966,24.7,2.47,726,5889,6840.92,1.05,10688.76,-2.06
2019,אליכין,3415,38.42,-,26.27,60.78,-,..,2.84,281,4400,12479.68,-0.43,13126.48,-1.29
2019,אלעד,48763,42.30,34,11.17,28.61,4002,16.7,1.15,1166,14571,6518.74,0.69,8054.14,-1.65
2019,אלפי מנשה,7952,38.96,-,36.51,81.2,-,..,2.56,455,4007,12265.49,1.07,12668.36,4.43
