Years,שם יישוב,"סה""כ אוכלוסייה בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30
2019,אבו גוש,7698.0,9.31,17.33,20.12
2019,אבו סנאן,14099.0,10.13,17.8,20.31
2019,אבן יהודה,13826.0,8.38,9.63,17.9
2019,אום אל-פחם,56109.0,11.35,18.19,17.91
2019,אופקים,30662.0,6.92,16.53,18.23
2019,אור יהודה,36813.0,7.06,14.1,20.22
2019,אור עקיבא,18972.0,5.8,13.1,20.73
2019,אורנית,8955.0,7.82,12.24,19.07
2019,אזור,12957.0,5.07,12.77,22.14
2019,אילת,52299.0,6.45,15.75,22.11
2019,אכסאל,14784.0,10.79,18.45,18.76
2019,אליכין,3415.0,7.88,14.41,16.13
2019,אלעד,48763.0,13.24,11.31,17.75
2019,אלפי מנשה,7952.0,8.75,11.17,19.04
2019,אלקנה,3838.0,7.45,15.06,16.86
2019,אעבלין,13305.0,10.11,17.42,19.26
2019,אפרת,10806.0,9.62,13.87,18.32
2019,אריאל,20540.0,5.11,22.81,18.14
2019,אשדוד,225939.0,7.51,13.2,17.25
2019,אשקלון,144073.0,6.05,12.82,19.8
2019,באקה אל-גרביה,29950.0,11.2,17.12,19.11
2019,באר יעקב,27768.0,6.51,10.39,26.39
2019,באר שבע,209687.0,6.26,14.3,19.32
2019,בועיינה-נוג'ידאת,9812.0,10.96,18.95,20.17
2019,בוקעאתא,6610.0,9.12,16.73,20.95
2019,ביר אל-מכסור,9522.0,9.97,18.17,19.13
2019,בית אל,5973.0,19.97,19.82,10.7
2019,בית אריה-עופרים,5253.0,8.62,12.96,19.23
2019,בית ג'ן,12001.0,8.85,18.6,21.66
2019,בית דגן,7285.0,8.77,14.62,17.16
2019,בית שאן,18464.0,7.7,15.68,17.82
2019,בית שמש,124957.0,9.41,14.28,16.09
2019,ביתר עילית,59270.0,10.18,13.56,14.87
2019,בני ברק,204639.0,10.48,15.86,15.07
2019,"בני עי""ש",6978.0,6.08,12.8,17.17
2019,בנימינה-גבעת עדה*,15847.0,9.33,10.24,18.89
2019,"בסמ""ה",10010.0,11.34,18.92,18.01
2019,בסמת טבעון,7916.0,10.76,17.8,18.89
2019,בענה,8381.0,11.2,18.47,19.09
2019,בת ים,129013.0,4.93,10.59,20.51
2019,גבעת זאב,18420.0,6.45,15.42,17.05
2019,גבעת שמואל,26578.0,7.4,13.16,18.99
2019,גבעתיים,60644.0,4.67,11.18,26.4
2019,ג'דיידה-מכר,21163.0,11.31,17.79,18.34
2019,גדרה,28313.0,10.52,11.4,18.09
2019,ג'ולס,6465.0,9.31,18.5,21.14
2019,ג'לג'וליה,10148.0,11.27,18.03,16.48
2019,גן יבנה,23869.0,10.01,14.61,16.82
2019,גני תקווה,20398.0,7.26,9.2,19.28
2019,ג'סר א-זרקא,14930.0,11.54,17.59,19.24
2019,ג'ש (גוש חלב),3105.0,8.28,15.91,19.65
2019,ג'ת,12100.0,10.12,18.07,18.54
2019,דאלית אל-כרמל,17653.0,7.85,15.91,22.16
2019,דבורייה,10510.0,11.03,17.22,16.94
2019,דייר אל-אסד,12514.0,10.84,17.94,19.28
2019,דייר חנא,10339.0,9.78,18.14,19.57
2019,דימונה,34500.0,7.9,14.93,18.5
2019,הוד השרון,63175.0,7.06,10.79,19.41
2019,הר אדר,4088.0,9.74,13.38,13.89
2019,הרצלייה,97470.0,5.73,11.27,20.88
2019,זכרון יעקב,23206.0,9.28,12.53,15.55
2019,זמר,7094.0,9.67,17.51,18.61
2019,זרזיר,8119.0,10.14,18.59,19.02
2019,חדרה,97335.0,6.38,12.62,20.25
2019,חולון,196282.0,6.17,11.27,20.89
2019,חורה,22337.0,12.53,16.27,13.92
2019,חורפיש,6410.0,9.73,17.5,21.56
2019,חיפה,285316.0,5.58,13.2,19.22
2019,חצור הגלילית,9272.0,8.36,15.16,16.87
2019,חריש,13232.0,2.82,10.54,28.64
2019,טבריה,44779.0,7.37,15.16,16.69
2019,טובא-זנגרייה,6776.0,10.14,18.18,20.94
2019,טורעאן,14240.0,10.35,18.3,18.2
2019,טייבה,43957.0,10.84,16.99,17.96
2019,טירה,26552.0,9.62,17.75,19.58
2019,טירת כרמל,23112.0,5.45,12.69,22.4
2019,טמרה,34392.0,10.76,17.42,19.12
2019,יאנוח-ג'ת,6679.0,9.66,17.77,21.77
2019,יבנאל,4243.0,9.0,12.16,15.3
2019,יבנה,47585.0,5.87,11.76,22.47
2019,יהוד,29928.0,7.23,11.77,18.16
2019,יסוד המעלה,1730.0,8.5,13.93,16.42
2019,יפיע,19151.0,10.26,18.11,18.68
2019,יקנעם עילית,23796.0,8.53,12.17,19.17
2019,ירוחם,10294.0,8.96,16.34,18.02
2019,ירושלים,936425.0,9.47,16.5,16.65
2019,ירכא,17171.0,10.33,18.32,20.32
2019,כאבול,14095.0,10.69,17.43,19.21
2019,כאוכב אבו אל-היג'א,3589.0,10.03,15.85,19.7
2019,כוכב יאיר,8702.0,8.45,16.15,12.82
2019,כסיפה,21866.0,12.01,16.99,14.85
2019,כסרא-סמיע,8818.0,10.17,18.6,21.01
2019,כעביה-טבאש-חג'אג'רה,5504.0,10.66,19.08,17.81
2019,כפר ברא,3678.0,11.94,20.64,16.31
2019,כפר ורדים,5486.0,9.48,13.38,13.42
2019,כפר יאסיף,10133.0,8.87,16.74,20.45
2019,כפר יונה,24778.0,7.62,11.89,21.48
2019,כפר כמא,3373.0,7.68,16.81,20.58
2019,כפר כנא,22751.0,11.21,18.12,17.96
2019,כפר מנדא,20188.0,11.74,19.75,18.08
2019,כפר סבא,101432.0,6.17,9.67,20.17
2019,כפר קאסם,23823.0,11.28,18.84,17.78
2019,כפר קרע,19018.0,9.6,18.15,19.3
2019,כפר שמריהו,1938.0,8.67,10.42,12.8
2019,כפר תבור,4311.0,8.88,11.88,16.68
2019,כרמיאל,46252.0,6.82,12.7,18.16
2019,להבים,6415.0,9.43,15.43,13.78
2019,לוד,77223.0,7.72,13.86,18.03
2019,לקיה,14075.0,11.8,17.02,15.03
2019,מבשרת ציון,24052.0,7.06,13.6,17.89
2019,מגאר,22957.0,9.49,18.97,21.45
2019,מג'ד אל-כרום,15455.0,10.99,17.81,18.98
2019,מגדל,1952.0,6.61,13.27,17.73
2019,מגדל העמק,25675.0,8.45,13.37,17.55
2019,מג'דל שמס,11180.0,8.92,15.49,21.24
2019,מודיעין עילית,76374.0,9.63,11.94,15.97
2019,מודיעין-מכבים-רעות*,93277.0,10.01,11.39,17.47
2019,מזכרת בתיה,14837.0,8.86,11.11,18.82
2019,מזרעה,3929.0,7.74,20.36,18.61
2019,מטולה,1615.0,5.88,20.93,19.2
2019,מיתר,9418.0,7.9,12.09,19.04
2019,מסעדה,3714.0,8.99,14.03,22.19
2019,מעיליא,3244.0,8.23,13.41,19.08
2019,מעלה אדומים,38155.0,8.45,15.6,16.97
2019,מעלה אפרים,1260.0,6.43,17.7,16.98
2019,מעלה עירון,15065.0,11.64,18.94,17.65
2019,מעלות-תרשיחא,21836.0,6.93,14.14,17.68
2019,מצפה רמון,5211.0,10.78,20.73,17.56
2019,משהד,8373.0,10.31,19.14,18.74
2019,נהרייה,58096.0,6.67,11.72,18.54
2019,נוף הגליל,41734.0,6.35,13.09,18.16
2019,נחף,13113.0,11.66,18.2,18.89
2019,נס ציונה,50351.0,7.69,9.81,20.1
2019,נצרת,77445.0,9.62,17.66,18.67
2019,נשר,24148.0,5.6,13.44,20.53
2019,נתיבות,37542.0,7.9,16.08,18.2
2019,נתניה,221353.0,6.2,11.91,19.16
2019,סאג'ור,4270.0,10.0,19.77,22.51
2019,סביון*,4036.0,9.51,12.59,11.62
2019,סח'נין,31702.0,9.76,16.85,20.46
2019,ע'ג'ר,2659.0,10.42,17.79,23.13
2019,עומר,7530.0,8.26,11.29,14.67
2019,עיילבון,5752.0,8.78,15.89,21.38
2019,עילוט,8356.0,10.83,19.0,18.32
2019,עין מאהל,13335.0,11.71,18.62,17.92
2019,עין קנייא,2098.0,9.63,15.25,21.54
2019,עכו,49380.0,7.47,13.99,19.43
2019,עמנואל,3906.0,7.35,17.08,13.57
2019,עספיא,12503.0,8.45,15.36,22.07
2019,עפולה,54250.0,6.31,14.8,18.72
2019,עראבה,25833.0,11.41,17.57,18.46
2019,ערד,26756.0,6.6,15.48,14.98
2019,ערערה,25245.0,11.22,16.89,18.47
2019,ערערה-בנגב,18332.0,12.56,18.4,13.86
2019,פוריידיס,13247.0,10.19,16.73,20.43
2019,פסוטה,3172.0,7.44,15.83,21.12
2019,פקיעין (בוקייעה),5893.0,8.6,17.22,21.02
2019,פרדס חנה-כרכור,43011.0,6.59,10.37,21.14
2019,פרדסייה,5930.0,6.59,15.48,17.64
2019,פתח תקווה,247956.0,6.69,10.85,20.06
2019,צפת,36094.0,8.9,16.05,14.1
2019,קדומים,4544.0,8.25,12.39,17.52
2019,קדימה-צורן,22683.0,8.55,12.85,17.53
2019,קלנסווה,23143.0,11.21,17.71,17.76
2019,קצרין,7297.0,6.3,13.5,17.2
2019,קריית אונו,40409.0,6.71,8.86,21.54
2019,קריית ארבע,7326.0,9.95,16.6,15.49
2019,קריית אתא,59030.0,6.18,12.85,19.53
2019,קריית ביאליק,40231.0,5.59,10.99,20.31
2019,קריית גת,57105.0,6.66,15.11,18.18
2019,קריית טבעון,18130.0,7.75,11.13,16.42
2019,קריית ים,39897.0,5.08,11.14,19.28
2019,קריית יערים,6128.0,9.5,18.82,15.06
2019,קריית מוצקין,43303.0,5.55,10.8,20.25
2019,קריית מלאכי,23819.0,6.27,16.82,18.67
2019,קריית עקרון,11001.0,6.37,15.1,18.52
2019,קריית שמונה,22512.0,6.84,16.82,17.28
2019,קרני שומרון,8135.0,7.71,16.68,18.55
2019,ראמה,7728.0,8.55,17.24,19.73
2019,ראש העין,61801.0,6.15,13.63,22.71
2019,ראש פינה,3148.0,6.61,13.69,16.45
2019,ראשון לציון,254384.0,6.46,12.99,19.47
2019,רהט,71437.0,12.37,18.68,14.87
2019,רחובות,143904.0,6.03,11.02,21.03
2019,ריינה,19001.0,10.5,18.65,17.99
2019,רכסים,12668.0,10.49,16.57,14.34
2019,רמלה,76246.0,6.94,14.24,20.07
2019,רמת גן,163480.0,4.95,12.64,24.08
2019,רמת השרון,47245.0,7.01,9.15,18.26
